Date : 2022-07-05 00:05:27
Directory : /Users/carltonaikins/Desktop/Home/Programming/projects/budgetme
Total : 119 files,  9787 codes, 1171 comments, 802 blanks, all 11760 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Dart               |         54 |      5,356 |      1,003 |        602 |      6,961 |
| JSON               |         19 |      3,471 |          0 |          6 |      3,477 |
| Svelte             |         11 |        393 |          3 |         34 |        430 |
| XML                |          9 |        129 |         46 |         11 |        186 |
| Groovy             |          3 |         97 |          3 |         22 |        122 |
| YAML               |          4 |         87 |         52 |         24 |        163 |
| Markdown           |          3 |         59 |         34 |         49 |        142 |
| Python             |          2 |         49 |         17 |         25 |         91 |
| JavaScript         |          4 |         46 |          3 |          7 |         56 |
| CSS                |          1 |         38 |          0 |          7 |         45 |
| Swift              |          1 |         15 |          0 |          4 |         19 |
| JSON with Comments |          1 |         15 |          6 |          1 |         22 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| TypeScript         |          3 |         10 |          3 |          6 |         19 |
| Properties         |          2 |          8 |          1 |          2 |         11 |
| C++                |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                              |        119 |      9,787 |      1,171 |        802 |     11,760 |
| .dart_tool                                                                                                                                                                     |          4 |         63 |         70 |         32 |        165 |
| .dart_tool/flutter_gen                                                                                                                                                         |          4 |         63 |         70 |         32 |        165 |
| .dart_tool/flutter_gen/gen_l10n                                                                                                                                                |          3 |         61 |         69 |         31 |        161 |
| budgetme_mobileapp                                                                                                                                                             |         87 |      5,962 |      1,052 |        664 |      7,678 |
| budgetme_mobileapp/android                                                                                                                                                     |         13 |        216 |         48 |         33 |        297 |
| budgetme_mobileapp/android/app                                                                                                                                                 |          9 |        170 |         47 |         22 |        239 |
| budgetme_mobileapp/android/app/src                                                                                                                                             |          7 |         65 |         44 |          9 |        118 |
| budgetme_mobileapp/android/app/src/debug                                                                                                                                       |          1 |          5 |          3 |          1 |          9 |
| budgetme_mobileapp/android/app/src/main                                                                                                                                        |          5 |         56 |         38 |          7 |        101 |
| budgetme_mobileapp/android/app/src/main/res                                                                                                                                    |          4 |         26 |         32 |          6 |         64 |
| budgetme_mobileapp/android/app/src/main/res/drawable                                                                                                                           |          1 |          4 |          7 |          2 |         13 |
| budgetme_mobileapp/android/app/src/main/res/drawable-v21                                                                                                                       |          1 |          4 |          7 |          2 |         13 |
| budgetme_mobileapp/android/app/src/main/res/values                                                                                                                             |          1 |          9 |          9 |          1 |         19 |
| budgetme_mobileapp/android/app/src/main/res/values-night                                                                                                                       |          1 |          9 |          9 |          1 |         19 |
| budgetme_mobileapp/android/app/src/profile                                                                                                                                     |          1 |          4 |          3 |          1 |          8 |
| budgetme_mobileapp/android/gradle                                                                                                                                              |          1 |          5 |          1 |          1 |          7 |
| budgetme_mobileapp/android/gradle/wrapper                                                                                                                                      |          1 |          5 |          1 |          1 |          7 |
| budgetme_mobileapp/ios                                                                                                                                                         |          8 |        235 |          2 |         11 |        248 |
| budgetme_mobileapp/ios/Runner                                                                                                                                                  |          7 |        228 |          2 |         11 |        241 |
| budgetme_mobileapp/ios/Runner/Assets.xcassets                                                                                                                                  |          3 |        148 |          0 |          4 |        152 |
| budgetme_mobileapp/ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                               |          1 |        122 |          0 |          1 |        123 |
| budgetme_mobileapp/ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                                             |          2 |         26 |          0 |          3 |         29 |
| budgetme_mobileapp/ios/Runner/Base.lproj                                                                                                                                       |          2 |         64 |          2 |          2 |         68 |
| budgetme_mobileapp/lib                                                                                                                                                         |         61 |      5,377 |        934 |        572 |      6,883 |
| budgetme_mobileapp/lib/l10n                                                                                                                                                    |         10 |         82 |          0 |          1 |         83 |
| budgetme_mobileapp/lib/src                                                                                                                                                     |         49 |      5,143 |        874 |        548 |      6,565 |
| budgetme_mobileapp/lib/src/config                                                                                                                                              |          6 |        695 |        105 |         62 |        862 |
| budgetme_mobileapp/lib/src/config/themes                                                                                                                                       |          5 |        632 |         87 |         40 |        759 |
| budgetme_mobileapp/lib/src/config/themes/dark_theme                                                                                                                            |          2 |        263 |         35 |         17 |        315 |
| budgetme_mobileapp/lib/src/config/themes/light_theme                                                                                                                           |          2 |        262 |         35 |         17 |        314 |
| budgetme_mobileapp/lib/src/models                                                                                                                                              |          3 |        209 |         67 |         50 |        326 |
| budgetme_mobileapp/lib/src/providers                                                                                                                                           |          5 |         34 |         85 |         19 |        138 |
| budgetme_mobileapp/lib/src/repositories                                                                                                                                        |          3 |        165 |         55 |         58 |        278 |
| budgetme_mobileapp/lib/src/services                                                                                                                                            |          2 |         67 |         34 |         17 |        118 |
| budgetme_mobileapp/lib/src/ui                                                                                                                                                  |         30 |      3,973 |        528 |        342 |      4,843 |
| budgetme_mobileapp/lib/src/ui/components                                                                                                                                       |          8 |        902 |        143 |         77 |      1,122 |
| budgetme_mobileapp/lib/src/ui/views                                                                                                                                            |         22 |      3,071 |        385 |        265 |      3,721 |
| budgetme_mobileapp/lib/src/ui/views/adjust_monthly_spending_limit_view                                                                                                         |          1 |        121 |         17 |          8 |        146 |
| budgetme_mobileapp/lib/src/ui/views/all_goals_view                                                                                                                             |          3 |        360 |         51 |         27 |        438 |
| budgetme_mobileapp/lib/src/ui/views/all_goals_view/components                                                                                                                  |          2 |        194 |         34 |         13 |        241 |
| budgetme_mobileapp/lib/src/ui/views/create_goal_view                                                                                                                           |          7 |      1,385 |        123 |        123 |      1,631 |
| budgetme_mobileapp/lib/src/ui/views/create_goal_view/bottom_sheet_views                                                                                                        |          5 |        957 |         87 |         77 |      1,121 |
