Date : 2022-07-10 14:55:12
Directory : /Users/carltonaikins/Desktop/Home/Programming/projects/budgetme
Total : 153 files,  12020 codes, 1140 comments, 1462 blanks, all 14622 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        111 |      6,478 |      1,141 |      1,361 |      8,980 |
| JSON     |         28 |      5,237 |          0 |         12 |      5,249 |
| Markdown |          7 |        213 |          0 |         75 |        288 |
| YAML     |          6 |         93 |         -1 |         14 |        106 |
| HTML     |          1 |         -1 |          0 |          0 |         -1 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                              |        153 |     12,020 |      1,140 |      1,462 |     14,622 |
| .dart_tool                                                                                                                                                                     |          4 |        -63 |        -70 |        -32 |       -165 |
| .dart_tool/flutter_gen                                                                                                                                                         |          4 |        -63 |        -70 |        -32 |       -165 |
| .dart_tool/flutter_gen/gen_l10n                                                                                                                                                |          3 |        -61 |        -69 |        -31 |       -161 |
| budgetme_mobileapp                                                                                                                                                             |        145 |     11,515 |      1,210 |      1,507 |     14,232 |
| budgetme_mobileapp/lib                                                                                                                                                         |         62 |      5,922 |        139 |        318 |      6,379 |
| budgetme_mobileapp/lib/l10n                                                                                                                                                    |         36 |      5,560 |        137 |        210 |      5,907 |
| budgetme_mobileapp/lib/src                                                                                                                                                     |         25 |        346 |         16 |        108 |        470 |
| budgetme_mobileapp/lib/src/config                                                                                                                                              |          2 |         17 |          0 |          3 |         20 |
| budgetme_mobileapp/lib/src/lang                                                                                                                                                |          2 |        285 |         14 |         83 |        382 |
| budgetme_mobileapp/lib/src/ui                                                                                                                                                  |         21 |         44 |          2 |         22 |         68 |
| budgetme_mobileapp/lib/src/ui/components                                                                                                                                       |          4 |          8 |          2 |          5 |         15 |
| budgetme_mobileapp/lib/src/ui/views                                                                                                                                            |         17 |         36 |          0 |         17 |         53 |
| budgetme_mobileapp/lib/src/ui/views/adjust_monthly_spending_limit_view                                                                                                         |          1 |          1 |          0 |          1 |          2 |
| budgetme_mobileapp/lib/src/ui/views/all_goals_view                                                                                                                             |          1 |          3 |          0 |          1 |          4 |
| budgetme_mobileapp/lib/src/ui/views/create_goal_view                                                                                                                           |          6 |          9 |          0 |          7 |         16 |
| budgetme_mobileapp/lib/src/ui/views/create_goal_view/bottom_sheet_views                                                                                                        |          5 |          7 |          0 |          5 |         12 |
| budgetme_mobileapp/lib/src/ui/views/create_goal_view/components                                                                                                                |          1 |          2 |          0 |          2 |          4 |
| budgetme_mobileapp/lib/src/ui/views/goal_view                                                                                                                                  |          5 |          9 |          0 |          4 |         13 |
| budgetme_mobileapp/lib/src/ui/views/goal_view/components                                                                                                                       |          5 |          9 |          0 |          4 |         13 |
| budgetme_mobileapp/lib/src/ui/views/profile_view                                                                                                                               |          3 |         13 |          0 |          3 |         16 |
| budgetme_mobileapp/lib/src/ui/views/profile_view/components                                                                                                                    |          2 |         11 |          0 |          2 |         13 |
| budgetme_mobileapp/lib/src/ui/views/transaction_history_view                                                                                                                   |          1 |          1 |          0 |          1 |          2 |
| budgetme_mobileapp/packages                                                                                                                                                    |         82 |      5,570 |      1,071 |      1,188 |      7,829 |
| budgetme_mobileapp/packages/gsheet_to_arb                                                                                                                                      |         39 |      2,333 |        224 |        555 |      3,112 |
| budgetme_mobileapp/packages/gsheet_to_arb/bin                                                                                                                                  |          1 |         57 |          5 |         19 |         81 |
| budgetme_mobileapp/packages/gsheet_to_arb/doc                                                                                                                                  |          1 |         42 |          0 |          8 |         50 |
| budgetme_mobileapp/packages/gsheet_to_arb/example                                                                                                                              |         12 |        519 |         59 |         77 |        655 |
| budgetme_mobileapp/packages/gsheet_to_arb/example/lib                                                                                                                          |          9 |        476 |         54 |         64 |        594 |
| budgetme_mobileapp/packages/gsheet_to_arb/example/lib/l10n                                                                                                                     |          8 |        458 |         53 |         55 |        566 |
| budgetme_mobileapp/packages/gsheet_to_arb/example/test                                                                                                                         |          1 |          8 |          5 |          3 |         16 |
| budgetme_mobileapp/packages/gsheet_to_arb/lib                                                                                                                                  |         19 |      1,545 |        137 |        382 |      2,064 |
| budgetme_mobileapp/packages/gsheet_to_arb/lib/src                                                                                                                              |         18 |      1,540 |        132 |        379 |      2,051 |
| budgetme_mobileapp/packages/gsheet_to_arb/lib/src/arb                                                                                                                          |          2 |        138 |         11 |         35 |        184 |
| budgetme_mobileapp/packages/gsheet_to_arb/lib/src/config                                                                                                                       |          3 |        360 |         32 |         95 |        487 |
| budgetme_mobileapp/packages/gsheet_to_arb/lib/src/dart                                                                                                                         |          3 |        363 |         41 |         83 |        487 |
| budgetme_mobileapp/packages/gsheet_to_arb/lib/src/gsheet                                                                                                                       |          1 |         98 |          4 |         28 |        130 |
| budgetme_mobileapp/packages/gsheet_to_arb/lib/src/parser                                                                                                                       |          4 |        341 |         26 |         74 |        441 |
| budgetme_mobileapp/packages/gsheet_to_arb/lib/src/utils                                                                                                                        |          3 |        187 |         14 |         47 |        248 |
| budgetme_mobileapp/packages/gsheet_to_arb/test                                                                                                                                 |          2 |         15 |         23 |          8 |         46 |
| budgetme_mobileapp/packages/gsheet_to_arb/test/arb                                                                                                                             |          1 |          8 |         18 |          4 |         30 |
| budgetme_mobileapp/packages/intl_generator                                                                                                                                     |         43 |      3,237 |        847 |        633 |      4,717 |
| budgetme_mobileapp/packages/intl_generator/bin                                                                                                                                 |          4 |        325 |         66 |         43 |        434 |
| budgetme_mobileapp/packages/intl_generator/lib                                                                                                                                 |          7 |      1,518 |        576 |        309 |      2,403 |
| budgetme_mobileapp/packages/intl_generator/lib/src                                                                                                                             |          5 |        787 |        299 |        161 |      1,247 |
| budgetme_mobileapp/packages/intl_generator/test                                                                                                                                |         29 |      1,324 |        205 |        258 |      1,787 |
| budgetme_mobileapp/packages/intl_generator/test/message_extraction                                                                                                             |         18 |      1,102 |        144 |        194 |      1,440 |
| budgetme_mobileapp/packages/intl_generator/test/two_components                                                                                                                 |          9 |        159 |         43 |         53 |        255 |
| budgetme_website                                                                                                                                                               |          4 |        568 |          0 |        -13 |        555 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                       | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/.dart_tool/flutter_gen/gen_l10n/app_localizations.dart                                                         | Dart     |        -49 |        -67 |        -19 |       -135 |
| /Users/carltonaikins/Desktop/Home/Programming/projects/budgetme/.dart_tool/flutter_gen/gen_l10n/app_localizations_en.dart                                                      | Dart     |         -6 |         -1 |         -6 |        -13 |
